376,Workato,Workato,Automation,"iPaaS, Workflow Automation, API Integration","Events, Data",Automated Workflows,An enterprise automation platform (iPaaS) that enables both business and IT users to build and run automated workflows. It uses AI to help users build recipes for integrating apps and automating complex business processes.,Paid,Enterprise,"Web, API",N/A,4.7,High,N/A,Fast,Business Processes,https://www.workato.com/,
377,Make (Integromat),Celonis,Automation,"No-code Automation, Visual Workflow Builder","Events, Data",Automated Workflows,"A powerful visual platform that allows users to design, build, and automate anything from simple tasks to complex workflows. It connects to thousands of apps and services without needing any coding knowledge.",Freemium,Beginner,"Web, API",N/A,4.8,High,N/A,Fast,Web Applications,https://www.make.com/,
378,n8n,n8n,Automation,"Fair-code Automation, Workflow Orchestration","Events, Data",Automated Workflows,"A source-available workflow automation tool that allows developers and technical users to create complex automations. It can be self-hosted, offering more control and data privacy, and connects with hundreds of third-party services.",Freemium,Intermediate,"Web, Desktop App",N/A,4.9,High,N/A,Fast,Web Applications,https://n8n.io/,
379,Playwright,Microsoft,Code,"Browser Automation, End-to-End Testing",Code,Test Results,"An open-source Node.js library for automating Chromium, Firefox, and WebKit browsers with a single API. It is designed for reliable end-to-end testing, enabling developers to write tests that are fast and resistant to flakiness.",Open-Source,Developer,Library,"JS, Python, Java",4.9,High,N/A,Fast,Web Browsers,https://playwright.dev/,
380,Cypress,Cypress,Code,"End-to-End Web App Testing, Component Testing",Code (JavaScript),Test Results,"A JavaScript-based end-to-end testing framework that runs directly in the browser. It provides a complete testing experience with a rich UI, time-travel debugging, and automatic waiting, making it easier to write and debug tests.",Freemium,Developer,"Desktop App, CLI",JavaScript,4.8,High,N/A,Fast,Web Applications,https://www.cypress.io/,
381,Postman,Postman,Code,"API Platform, API Testing, API Development",API Requests,API Responses,"A comprehensive platform for building and using APIs. It simplifies each step of the API lifecycle, from design and testing to documentation and collaboration, and is widely used by developers worldwide.",Freemium,Developer,"Desktop App, Web",N/A,4.7,High,N/A,Fast,APIs,https://www.postman.com/,
382,Figma,Adobe,Image,"UI/UX Design, Prototyping, Collaboration",User Input,"Designs, Prototypes","A collaborative interface design tool that runs in the browser. It allows teams to work together in real-time to create, test, and ship better designs, from initial wireframes to interactive prototypes.",Freemium,Intermediate,"Web, Desktop App",N/A,4.7,High,N/A,N/A,UI/UX Design,https://www.figma.com/,
383,Webflow,Webflow,Code,"No-code Web Design, CMS, E-commerce","User Input, Designs",Live Website,"A visual web development platform that allows users to design, build, and launch responsive websites without writing code. It combines a powerful design tool with a CMS, e-commerce, and hosting capabilities.",Freemium,Intermediate,Web,N/A,4.5,High,N/A,N/A,Web Design,https://webflow.com/,
384,Bubble,Bubble,Code,"No-code Web App Development, Visual Programming","User Input, Logic",Web Application,"A powerful no-code platform for creating digital products and web applications. It provides a visual programming interface that allows users to design, develop, and host fully functional apps without writing any code.",Freemium,Intermediate,Web,N/A,4.6,High,N/A,N/A,Web App Development,https://bubble.io/,
385,Airtable,Airtable,Automation,"Low-code App Builder, Relational Database","User Input, Data","Databases, Apps","A low-code platform that combines the flexibility of a spreadsheet with the power of a relational database. It allows teams to create custom applications to manage their workflows, data, and processes in a collaborative environment.",Freemium,Beginner,"Web, Mobile App",N/A,4.6,High,N/A,N/A,Database & App Building,https://www.airtable.com/,
386,Monday.com,Monday.com,Automation,"Work OS, Project Management, Workflow Automation","User Input, Data","Workflows, Boards","A flexible Work Operating System (Work OS) where teams can create custom workflows to manage any project or process. It provides building blocks like boards, dashboards, and automations to fit any team's needs.",Paid,Intermediate,"Web, Mobile App",N/A,4.7,High,N/A,N/A,Work Management,https://monday.com/,
387,Teamwork,Teamwork,Automation,"Project Management for Client Work, Team Collab",User Input,"Projects, Tasks","A project management platform specifically designed for agencies and client-facing teams. It helps manage projects, track time, bill clients, and collaborate effectively, ensuring profitability and client satisfaction.",Paid,Intermediate,"Web, Mobile App",N/A,4.5,Medium,N/A,N/A,Client Project Management,https://www.teamwork.com/,
388,Basecamp,37signals,Automation,"Project Management, Team Communication, All-in-one",User Input,"Projects, To-dos","An all-in-one project management and team communication tool that helps teams stay organized. It combines to-do lists, calendars, file sharing, and group chat in a single, straightforward interface to reduce complexity.",Paid,Beginner,"Web, Mobile App",N/A,4.2,High,N/A,N/A,Team Collaboration,https://basecamp.com/,
389,LangSmith,LangChain,Code,"LLM Observability, Debugging, Monitoring",LLM Application Traces,"Analytics, Insights","A platform for debugging, testing, evaluating, and monitoring chains and intelligent agents built on any LLM framework. It provides full visibility into the execution of LLM applications, helping developers troubleshoot and improve performance.",Paid,Developer,"API, SDK",Python,4.9,High,98%,Fast,LLM Applications,https://www.langchain.com/langsmith,
390,Weights & Biases,Weights & Biases,Data,"MLOps, Experiment Tracking, Model Visualization","Code, Logs","Dashboards, Reports","An MLOps platform for developers to build better models faster. It provides tools for experiment tracking, dataset versioning, and model management, helping teams collaborate and maintain reproducibility in their ML projects.",Freemium,Developer,"API, SDK",Python,4.9,High,N/A,Fast,Machine Learning Models,https://wandb.ai/,
391,Retool,Retool,Code,"Internal Tool Builder, Low-code Development","Data, API",Internal Web App,"A low-code platform for building internal tools and business applications remarkably fast. It allows developers to connect to any database or API and build custom UIs with pre-built components like tables, charts, and forms.",Paid,Developer,"Web, API, SDK",English,4.7,High,95%,Fast,"Business Logic, UI",https://retool.com/,
392,Gradio,Hugging Face,Code,"UI for ML Models, Demo Building, Sharing","Code (Python), ML Model",Interactive Web App,An open-source Python library that makes it easy to create and share a user-friendly web interface for any machine learning model. It allows developers to build a demo for their model with just a few lines of code.,Open-Source,Developer,Library (Python),Python,4.9,High,N/A,Fast,Machine learning models,https://www.gradio.app/,
393,UiPath,UiPath,Automation,"Robotic Process Automation (RPA), AI Automation","User Actions, Data",Automated Business Tasks,"A leading enterprise platform for AI-powered robotic process automation (RPA). It enables businesses to automate repetitive tasks across various applications, using software robots that can mimic human actions on a computer.",Paid,Enterprise,"Desktop App, Web",Multilingual,4.6,High,99%,Varies,Business Processes,https://www.uipath.com/,
394,MOSTLY AI,MOSTLY AI,Data,"Synthetic Data Generation, Data Anonymization",Dataset (Structured),Synthetic Dataset,An AI platform that specializes in generating statistically representative synthetic data. It helps companies unlock sensitive data for analytics and machine learning while ensuring privacy and compliance with regulations like GDPR.,Paid,Enterprise,"Web, API",N/A,4.5,Low,99%,Medium,Tabular & Time-series Data,https://mostly.ai/,
395,Dataiku,Dataiku,Data,"End-to-End Data Science, Everyday AI","Dataset, Code","Models, Analytics","An all-in-one platform that systematizes the use of data for Everyday AI. It provides a central, collaborative environment for data scientists, analysts, and engineers to design, deploy, and manage AI and analytics applications.",Paid,Enterprise,Web,Multilingual,4.7,High,N/A,Varies,Enterprise Data,https://www.dataiku.com/,
396,CodiumAI,CodiumAI,Code,"AI Test Generation, Code Analysis, Bug Detection",Code,Code (Unit Tests),"An AI-powered tool that analyzes source code, docstrings, and comments to generate meaningful unit tests and other code integrity checks. It helps developers accelerate testing and catch bugs before code reaches production.",Freemium,Developer,Plugin,Multilingual,4.9,High,90%,Fast,"Code, Test Suites",https://www.codium.ai/,
397,Lightning AI,Lightning AI,Code,"AI App Development, Model Training, MLOps",Code (PyTorch),"Trained Model, AI App",A platform built on PyTorch Lightning for building and training production-ready AI models and applications. It helps researchers and developers scale their ML models and apps from a laptop to the cloud without changing their code.,Freemium,Developer,"API, SDK, CLI",Python,4.8,High,N/A,Varies,Deep Learning Models,https://lightning.ai/,
398,Domino Data Lab,Domino Data Lab,Data,"Enterprise MLOps, Data Science Platform","Code, Data","Models, Results","An enterprise MLOps platform that centralizes data science work and infrastructure across the organization. It enables companies to build, validate, deliver, and monitor models at scale, fostering collaboration and governance.",Paid,Enterprise,"Web, API, SDK","Python, R",4.5,Medium,N/A,Varies,Enterprise Data Science,https://www.dominodatalab.com/,
